id,career_id,nombre,creditos
586,9,PROCESOS DE FABRICACION II,6
587,9,VIBRACIONES MECANICAS,10
588,9,DISEÑO MECANICO A,11
589,9,MAQUINAS TERMICAS,11
590,9,ELECTROTECNIA PARA INGENIERIA II,10
591,9,INGLES 5,0
592,9,CONTROL DE CALIDAD,6
593,9,PROCESOS DE FABRICACION III,8
594,9,ADMINISTRACION DE PROYECTOS,6
595,9,DISEÑO MECANICO B,9
596,9,MECANICA DE FLUIDOS,11
597,9,SISTEMAS DE CONTROL Y AUTOMATIZACION,7
598,9,VALIDACION DE LA LENGUA EXTRANJERA,0
599,9,LIDERAZGO Y EMPRENDIMIENTO,3
600,9,CONTROL NUMERICO COMPUTARIZADO,8
601,9,INGENIERIA Y GESTION AMBIENTAL,3
602,9,METODO DE LOS ELEMENTOS FINITOS,9
603,9,FENOMENOS DE TRANSPORTE,10
604,9,CIRCUITOS HIDRAULICOS Y NEUMATICOS,10
605,9,TOPICOS AVANZADOS DE FABRICACION,6
606,9,MANTENIMIENTO INDUSTRIAL,6
607,9,PROYECTO INTEGRADOR IM,10
608,9,SISTEMAS HIDROMECANICOS A,7
